"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Готика 3";"Gothic 3";"2006";"8";"2015-05-03 11:17:20"
"Золотая секира 3";"Golden Axe III";"1993";"8";"2015-05-03 09:57:39"
"Обитель зла 3: Немезиc";"Resident Evil 3: Nemesis; Bio Hazard 3: Last Escape";"2005";"8";"2015-05-03 08:48:26"
"Обитель зла 2";"Resident Evil 2; Bio Hazard 2";"1999";"7";"2015-05-03 08:43:52"
"Psi-Ops: Врата разума";"Psi-Ops: The Mindgate Conspiracy";"2005";"6";"2015-05-02 11:55:22"
"Злые птицы: Звёздные войны";"Angry Birds Star Wars";"2012";"8";"2015-05-02 08:54:54"
"Grand Theft Auto: Vice City";"GTA: Vice City";"2003";"7";"2015-05-02 08:31:24"
"Grand Theft Auto: San Andreas";"GTA: San Andreas";"2005";"8";"2015-05-02 08:29:06"
"Кровавое Знамение: Наследие Каина";"Blood Omen: Legacy of Kain";"1996";"7";"2015-05-02 07:35:29"
"Наследие Каина: Похититель душ 2";"Legacy of Kain: Soul Reaver 2";"2001";"8";"2015-05-02 07:22:05"
"The Suffering: Prison is Hell";"";"2004";"6";"2015-05-02 07:13:34"
"Звёздные войны. Спецназ Республики";"Star Wars Republic Commando";"2005";"6";"2015-05-01 13:35:17"
"Grand Theft Auto 2";"GTA II";"1999";"7";"2015-05-01 13:35:08"
"Grand Theft Auto 3";"GTA III";"2002";"7";"2015-05-01 13:34:13"
"Кровавое знамение 2: Наследие Каина";"Blood Omen 2: Legacy of Kain";"2002";"9";"2015-05-01 13:33:54"
"Принц Персии: Схватка с судьбой";"Prince of Persia: Warrior Within; Prince of Persia: Revelations";"2004";"7";"2015-05-01 13:33:16"
"Мор. Утопия";"Pathologic";"2005";"7";"2015-05-01 13:31:50"
"Red Faction: Guerrilla";"";"2009";"7";"2015-05-01 13:30:39"
"Человек-тень";"Shadow Man";"1999";"6";"2015-05-01 12:02:19"
"Thief 2: Эпоха металла";"Thief II: The Metal Age";"2000";"6";"2015-05-01 11:49:35"
"Crysis";"";"2007";"6";"2015-05-01 11:45:16"
"Severance: Blade of Darkness";"";"2001";"8";"2015-05-01 11:44:46"
"Postal 2";"";"2003";"6";"2015-05-01 11:33:53"
"Counter-Strike: Source";"";"2005";"7";"2015-05-01 11:27:19"
"The Hulk";"";"2003";"8";"2015-05-01 11:08:25"
"Star Wars Jedi Knight: Jedi Academy";"Звёздные войны: Рыцарь джедай: Академия джедаев";"2003";"7";"2015-05-01 09:24:31"
"Watch Dogs";"";"2014";"1";"2015-05-01 09:24:01"
"Manhunt 2";"";"2007";"5";"2015-05-01 09:23:40"
"Call of Duty 1";"";"2003";"5";"2015-05-01 09:23:28"
"В тылу врага 1";"Soldiers: Heroes of World War II";"2004";"10";"2015-04-30 13:33:36"
"StarCraft";"";"1998";"6";"2015-04-30 13:31:18"
"Демиурги";"";"2001";"8";"2015-04-30 13:29:54"
"Sid Meier’s Civilization IV";"";"2005";"8";"2015-04-30 13:29:35"
"Аллоды 2: Повелитель душ";"";"1999";"10";"2015-04-30 13:29:18"
"The Settlers";"";"1994";"7";"2015-04-30 13:27:13"
"Empire Earth III";"";"2007";"7";"2015-04-30 13:26:39"
"The Temple of Elemental Evil: A Classic Greyhawk Adventure";"";"2008";"7";"2015-04-30 13:26:03"
"Преторианцы";"";"2003";"7";"2015-04-30 13:24:47"
"SimCity";"";"1989";"9";"2015-04-30 13:24:30"
"Sid Meier’s Civilization 2";"";"1996";"7";"2015-04-30 13:23:50"
"Sid Meier’s Civilization III: Complete";"";"2001";"8";"2015-04-30 13:22:03"
"Clash of Clans";"";"2012";"6";"2015-04-30 13:17:48"
"Warcraft 2: Tides of Darkness";"";"1995";"8";"2015-04-30 13:17:21"
"Казаки: снова война";"";"2005";"10";"2015-04-30 13:14:42"
"Европа III: Войны Наполеона";"";"2007";"6";"2015-04-30 13:13:56"
"Легенда: Наследие драконов";"";"2006";"6";"2015-04-30 12:30:02"
"The Sims 4";"";"2014";"10";"2015-04-29 11:58:55"
"The Sims";"";"2000";"8";"2015-04-29 11:58:46"
"The Sims 2";"";"2004";"8";"2015-04-29 11:58:41"
"Card Wars - Adventure Time";"";"2014";"7";"2015-04-28 11:53:38"
"Герои Меча и Магии 4";"Heroes of Might and Magic IV";"2002";"7";"2015-04-27 12:14:06"
