"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Приключения Паддингтона";"Paddington";"2014";"6";"2015-07-06 06:34:46"
"Тысяча слов";"A Thousand Words";"2009";"10";"2015-06-18 06:58:40"
