"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Седьмой сын";"Seventh Son";"2015";"9";"2015-05-28 21:16:32"
"Константин: повелитель тьмы";"Constantine";"2005";"10";"2015-05-28 21:15:58"
"Сайлент Хилл 2";"Silent Hill 2, Silent Hill: Revelation 3D";"2012";"6";"2015-05-28 21:15:26"
"Сайлент Хилл";"Silent Hill";"2006";"10";"2015-05-28 21:15:14"
"Три дня на убийство";"3 Days to Kill";"2014";"10";"2015-05-28 21:14:46"
"Одержимость (2004)";"Wicker Park, Obsessed";"2004";"8";"2015-05-28 21:14:23"
"Джон Уик";"John Wick";"2013";"9";"2015-05-28 21:13:43"
"Люси";"Lucy";"2014";"6";"2015-05-28 21:13:26"
"Воды слонам";"Water for Elephants";"2011";"9";"2015-05-28 21:12:02"
"Дом у озера (2006)";"The Lake House";"2006";"10";"2015-05-28 21:11:42"
"Виноваты звёзды";"The Fault in Our Stars";"2014";"8";"2015-05-28 21:11:29"
"Время (2011)";"In Time";"2011";"9";"2015-05-28 21:11:12"
"1408";"1408";"2007";"10";"2015-05-28 21:10:30"
"Достучаться до небес";"Knockin’ On Heaven’s Door";"1997";"10";"2015-05-28 21:10:14"
"Заплати другому";"Pay It Forward, Плати вперед";"2000";"7";"2015-05-28 21:09:50"
"Реквием по мечте";"Requiem for a Dream";"2000";"9";"2015-05-28 21:09:17"
"Остров проклятых";"Shutter Island";"2009";"10";"2015-05-28 21:09:03"
"Письма к Джульетте";"Letters to Juliet";"2010";"8";"2015-05-28 21:08:38"
"Бойцовский клуб";"Fight Club";"1999";"10";"2015-05-28 21:08:20"
"Три метра над уровнем неба: Я тебя хочу";"Tengo ganas de ti, I Want You, Я хочу тебя";"2012";"6";"2015-05-28 21:07:55"
"Три метра над уровнем неба";"Tres metros sobre el cielo";"2010";"8";"2015-05-28 21:07:47"
"Хорошо быть тихоней";"The Perks of Being a Wallflower";"2012";"7";"2015-05-28 21:07:19"
"Копы в юбках";"The Heat";"2013";"9";"2015-05-28 21:06:48"
"Алиса в стране чудес (2010)";"Alice in wonderland";"2010";"10";"2015-05-28 21:06:30"
"Мачо и ботан 2";"22 Jump Street";"2014";"9";"2015-05-28 21:05:26"
"Мачо и ботан";"21 Jump Street, Джамп стрит 21";"2012";"9";"2015-05-28 21:05:19"
"Третий лишний (2012)";"Ted";"2012";"8";"2015-05-28 21:04:43"
"Влюбись в меня если осмелишься";"Jeux d’enfants/Love Me If You Dare";"2003";"9";"2015-05-28 21:04:18"
"21 и больше";"21 & Over";"2013";"8";"2015-05-28 21:01:18"
"Очень плохая училка";"Bad Teacher";"2011";"9";"2015-05-28 21:00:58"
"Холодное сердце (2013)";"Frozen";"2013";"10";"2015-05-28 21:00:36"
"Кухня в Париже";"";"2014";"7";"2015-05-28 21:00:14"
"Как приручить дракона 2";"How to Train Your Dragon 2";"2014";"9";"2015-05-28 20:59:31"
"Как приручить дракона";"How to Train Your Dragon";"2010";"8";"2015-05-28 20:59:13"
"Король говорит!";"The King’s Speech, Речь короля, Королевская речь";"2010";"9";"2015-05-28 20:58:18"
"Притворись моей женой";"Just Go with It";"2011";"8";"2015-05-28 20:54:36"
"Притворись моим парнем";"20 ans d’écart";"2013";"7";"2015-05-28 20:54:20"
"Мальчишник: Часть III";"The Hangover Part III";"2013";"7";"2015-05-28 20:53:50"
"Мальчишник 2: Из Вегаса в Бангкок";"The Hangover Part II";"2011";"7";"2015-05-28 20:53:31"
"Мальчишник в Вегасе";"The Hangover";"2009";"9";"2015-05-28 20:52:52"
"Адвокат дьявола";"The Devil’s Advocate";"1997";"10";"2015-05-28 20:52:23"
"Сделка с дьяволом (2006)";"The Covenant";"2006";"7";"2015-05-28 20:52:06"
"Робот по имени Чаппи";"Chappie";"2015";"8";"2015-05-28 20:40:50"
