"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Дорохедоро (Dorohedoro)";"";"2001";"10";"2015-01-11 17:30:14"
"2024-й";"";"2009";"8";"2015-01-11 17:26:43"
"Белое Пламя";"";"2010";"3";"2015-01-11 17:24:36"
"Эпицентр";"";"2010";"5";"2015-01-11 17:22:31"
"Осенний марафон";"";"2009";"6";"2015-01-11 17:16:43"
"Бестиариум";"";"2013";"5";"2015-01-11 17:14:34"
"Ричард Длинные Руки — эрбпринц";"";"2013";"8";"2015-01-11 17:04:22"
"Пиранья против воров-2";"";"2002";"5";"2015-01-11 17:02:49"
"Чужая кровь";"";"2008";"7";"2015-01-11 17:00:03"
"Берсерк";"";"1989";"10";"2015-01-11 16:55:16"
"Рыцарь Железного Кулака";"";"2009";"9";"2015-01-11 16:51:07"
"Крылья судьбы";"";"2009";"6";"2015-01-11 16:48:56"
"Ричард Длинные Руки — курпринц";"";"2013";"7";"2015-01-11 16:44:01"
"На пятьдесят оттенков темнее";"";"2011";"4";"2015-01-11 16:43:12"
"Ричард Длинные Руки — рейхсфюрст";"";"2012";"7";"2015-01-11 16:42:53"
"Ричард Длинные Руки — эрцфюрст";"";"2012";"7";"2015-01-11 16:42:35"
"Ричард Длинные Руки — князь";"";"2012";"8";"2015-01-11 16:42:12"
"Ричард Длинные Руки — гранд";"";"2011";"8";"2015-01-11 16:41:18"
"Snuff (2011, Виктор Пелевин)";"";"2011";"10";"2015-01-11 16:41:05"
"Ричард Длинные Руки — ландесфюрст";"";"2011";"8";"2015-01-11 16:40:53"
"Надежда пустошей";"";"2011";"4";"2015-01-11 16:39:56"
"Пятно";"";"2011";"6";"2015-01-11 16:39:22"
"Аутодафе (П. Корнев)";"";"2009";"8";"2015-01-11 16:38:53"
"Ричард Длинные Руки — курфюрст";"";"2011";"8";"2015-01-11 16:38:31"
"Ричард Длинные Руки — принц";"";"2012";"7";"2015-01-11 16:38:08"
"Тьма: Сияние Тьмы";"";"2011";"5";"2015-01-11 16:34:25"
"Ричард Длинные Руки — фюрст";"";"2011";"8";"2015-01-11 16:34:14"
"Ютланд, брат Придона";"";"2011";"6";"2015-01-11 16:33:30"
"Драконы Вавилона";"";"2008";"10";"2015-01-11 16:32:14"
"Страж — 2: Аутодафе";"";"2011";"5";"2015-01-11 16:31:28"
"Герои (Д. Аберкромби)";"";"2011";"8";"2015-01-11 16:31:00"
"Ричард Длинные Руки — вице-принц";"";"2012";"9";"2015-01-11 16:29:32"
"Ричард Длинные Руки — принц-консорт";"";"2012";"8";"2015-01-11 16:28:22"
"Ледяная Цитадель";"";"2010";"6";"2015-01-11 16:28:06"
"Лучше подавать холодным";"";"2009";"10";"2015-01-11 16:27:10"
"Ричард Длинные Руки — эрцгерцог";"";"2010";"8";"2015-01-11 16:26:35"
"Ричард Длинные Руки — эрцпринц";"";"2012";"8";"2015-01-11 16:25:56"
"Ричард Длинные Руки — герцог";"";"2010";"9";"2015-01-11 16:24:52"
"Жнец";"";"2010";"7";"2015-01-11 16:24:38"
"Совет Двенадцати";"";"2010";"6";"2015-01-11 16:24:19"
"Первый закон: Книга 3 — Последний довод королей";"";"2008";"10";"2015-01-11 16:24:06"
"Уйти чтобы выжить";"";"2010";"4";"2015-01-11 16:23:40"
"Хочу остаться собой";"";"2010";"3";"2015-01-11 16:23:21"
"Страж (А. Пехов)";"";"2010";"5";"2015-01-11 16:22:50"
"Первый закон: Книга 2 — Прежде чем их повесят";"";"2007";"9";"2015-01-11 16:22:22"
"Истребивший магию";"";"2010";"7";"2015-01-11 16:21:50"
"Власть волшебства";"";"2009";"8";"2015-01-11 16:20:34"
"Последний город";"";"2009";"5";"2015-01-11 16:18:56"
"Владыка Сардуора";"";"2009";"7";"2015-01-11 16:18:42"
"Пересмешник (А. Пехов)";"";"2009";"8";"2015-01-11 16:18:26"
"Ричард Длинные Руки — фрейграф";"";"2009";"9";"2015-01-11 16:18:07"
"Блам!";"";"1998";"7";"2015-01-11 16:17:50"
"Вторая жизнь";"";"2009";"8";"2015-01-11 16:17:24"
"Черный полдень";"";"2008";"7";"2015-01-11 16:17:07"
"Демоны в Ватикане";"";"2008";"8";"2015-01-11 16:16:46"
"Экзо";"";"2008";"7";"2015-01-11 16:16:28"
"Последняя Пасха";"";"2008";"5";"2015-01-11 16:15:00"
"Правый глаз дракона";"";"2008";"6";"2015-01-11 16:14:14"
"Стезя чародея";"";"2008";"8";"2015-01-11 16:12:24"
"Посох для чародея";"";"2009";"8";"2015-01-11 16:11:58"
"Архангел";"";"2008";"10";"2015-01-08 17:00:54"
"Сокровище антиквара";"";"2009";"5";"2015-01-08 16:58:26"
"Источник волшебства";"";"2008";"8";"2015-01-08 16:57:28"
"Левый глаз дракона";"";"2008";"6";"2015-01-08 16:56:17"
"Сингомэйкеры";"";"2008";"9";"2015-01-08 16:56:03"
"Ричард Длинные Руки — гроссграф";"";"2008";"9";"2015-01-08 16:54:53"
"Антиквар (А. Бушков)";"";"2008";"6";"2015-01-08 16:53:55"
"Грон";"";"2008";"6";"2015-01-08 16:51:44"
"Тайна похищенной башни";"";"2009";"5";"2015-01-08 16:51:13"
"Небесные воины";"";"2007";"10";"2015-01-08 16:48:51"
"Прививка от космоса";"";"2007";"10";"2015-01-08 16:46:23"
"Бэтмен (1993)";"";"1993";"8";"2015-01-08 16:44:41"
"Замалчиваемая история России";"";"2003";"1";"2015-01-08 16:40:42"
"Возвышение Хиспа";"";"2008";"6";"2015-01-08 16:36:51"
"Помощники ночи";"";"2007";"5";"2015-01-08 16:35:58"
"Объектный подход";"";"2007";"7";"2015-01-08 16:34:43"
"Короли в изгнании";"";"2007";"8";"2015-01-08 16:32:29"
"Квест империя";"";"2007";"8";"2015-01-08 16:30:59"
