"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Пиранья: Первый бросок";"";"1999";"6";"2014-12-31 15:27:01"
"Ричард де Амальфи";"";"2006";"9";"2014-12-31 15:26:45"
"Огонь в его ладонях";"";"1984";"8";"2014-12-31 15:26:31"
"Последнее желание (1993)";"";"1993";"9";"2014-12-31 15:26:17"
"Боги Марса";"";"1918";"8";"2014-12-31 15:26:04"
"Волкодав";"";"1995";"8";"2014-12-31 15:25:51"
"Тысяча ударов меча";"";"2000";"10";"2014-12-31 15:25:37"
"Короли-пустынники";"";"1979";"8";"2014-12-31 15:25:20"
"Лорд с планеты Земля";"";"1995";"10";"2014-12-31 15:25:07"
"Гиперборей";"";"1994";"8";"2014-12-31 15:24:53"
"Принцесса Марса";"";"1917";"9";"2014-12-31 15:24:36"
"Рождение мага";"";"1999";"8";"2014-12-31 15:24:20"
"Тень победы";"";"2006";"6";"2014-12-31 15:24:04"
"Тени сгущаются";"";"1984";"10";"2014-12-30 15:36:57"
"Маленький принц";"";"1943";"5";"2014-12-30 15:04:25"
"Нечаянный король";"";"2001";"7";"2014-12-30 15:00:35"
"На то и волки";"";"1999";"5";"2014-12-30 15:00:19"
"Пиранья против воров";"";"2001";"5";"2014-12-30 15:00:05"
"Ричард Длинные Руки — виконт";"";"2005";"8";"2014-12-30 14:59:49"
"Ричард Длинные Руки — ярл";"";"2005";"8";"2014-12-30 14:59:41"
"Гибель богов";"";"1994";"8";"2014-12-30 14:59:30"
"Возвращение Пираньи";"";"1998";"6";"2014-12-30 14:59:15"
"Сумеречный Дозор";"";"2004";"6";"2014-12-30 14:58:59"
"Лабиринт отражений (1996)";"";"1996";"9";"2014-12-30 14:58:43"
"Злобные чугунные небеса";"";"2002";"8";"2014-12-30 14:58:30"
"Я живу в этом теле";"";"1999";"9";"2014-12-30 14:58:14"
"Принц Госплана";"";"1991";"7";"2014-12-30 14:57:57"
"Марсианские хроники (1950)";"";"1950";"9";"2014-12-30 14:57:42"
"Труба Иерихона";"";"2000";"9";"2014-12-30 14:57:26"
"Пророчество. Дитя Земли";"";"2000";"8";"2014-12-30 14:57:09"
"Хроники Хоукмуна 1: Драгоценность в черепе";"";"1967";"7";"2014-12-30 14:55:44"
"Ночной Дозор (1999)";"";"1999";"7";"2014-12-30 14:55:23"
"Сходняк (А. Бушков)";"";"2004";"5";"2014-12-30 14:55:04"
"Чужие берега";"";"2003";"7";"2014-12-30 14:54:43"
"Фарамунд";"";"1999";"9";"2014-12-30 14:54:28"
"День М";"";"1993";"8";"2014-12-30 14:54:10"
"Дневной Дозор";"";"2000";"8";"2014-12-30 14:53:57"
"Ночи кровавого железа";"";"1991";"8";"2014-12-30 14:52:39"
"Бесплодные земли";"";"1991";"7";"2014-12-30 14:52:23"
"Тьма всех ночей";"";"1979";"6";"2014-12-30 14:51:58"
"Жизнь насекомых (В. Пелевин)";"";"1993";"9";"2014-12-30 14:51:39"
"Куявия";"";"2003";"9";"2014-12-30 14:51:24"
"Странствия мага";"";"2005";"8";"2014-12-30 14:51:10"
"Пропавший легион";"";"1987";"7";"2014-12-30 14:50:58"
"Семеро Тайных";"";"1998";"8";"2014-12-30 14:50:45"
"Артания";"";"2002";"7";"2014-12-30 14:50:33"
"Последняя республика";"";"2004";"8";"2014-12-30 14:50:16"
"Владыки Мегамира";"";"2000";"7";"2014-12-30 14:49:58"
"Очищение (В. Суворов)";"";"1998";"7";"2014-12-30 14:49:46"
"Чужие паруса (2002)";"";"2002";"5";"2014-12-30 14:49:30"
"Пиранья: Озорные призраки";"";"2005";"5";"2014-12-30 14:49:15"
"Бешеная";"";"1995";"6";"2014-12-30 14:48:58"
"Земля без радости: Книга Эльтары и Аргниста";"";"1997";"5";"2014-12-30 14:48:35"
"Череп на рукаве";"";"2001";"8";"2014-12-30 14:48:21"
"Фальшивые зеркала";"";"1999";"9";"2014-12-30 14:48:03"
"Трое в Долине";"";"1998";"8";"2014-12-30 14:47:48"
"Золотая шпага";"";"1979";"10";"2014-12-30 14:47:39"
"Ричард Длинные Руки — воин Господа";"";"2001";"10";"2014-12-30 14:47:22"
"451 градус по Фаренгейту";"";"1953";"8";"2014-12-30 14:47:12"
"Хундертауэр";"";"2005";"8";"2014-12-30 14:46:57"
"Придон";"";"2002";"8";"2014-12-30 14:46:44"
"Башня-2";"";"2000";"9";"2014-12-30 14:46:25"
"Ричард Длинные Руки — барон";"";"2005";"9";"2014-12-30 14:46:15"
"Имаго (Ю. Никитин)";"";"2002";"10";"2014-12-30 14:46:01"
"Алая аура протопарторга";"";"2000";"3";"2014-12-30 14:45:45"
"Бульдожья схватка";"";"1999";"5";"2014-12-30 14:45:32"
"Крещение огнем (А. Сапковский)";"";"1996";"9";"2014-12-30 14:45:14"
"Рыцарь из ниоткуда";"";"1996";"8";"2014-12-30 14:44:54"
"Жатва Восточного Ветра";"";"1987";"8";"2014-12-30 14:44:39"
"Непристойный танец";"";"2001";"5";"2014-12-30 14:44:25"
"Рождение гигантов";"";"2004";"4";"2014-12-30 14:43:50"
"Золотые сердца с червоточинкой";"";"1988";"8";"2014-12-30 14:42:30"
"Инквизиторы космоса";"";"1993";"8";"2014-12-30 14:42:06"
"Гнев генерала Панка";"";"2004";"10";"2014-12-30 14:40:38"
"Мир Смерти 1: Неукротимая планета";"";"1960";"9";"2014-12-30 14:40:23"
"Хроники Хоукмуна 4: Рунный Посох";"";"1969";"8";"2014-12-30 14:40:07"
"Ричард Длинные Руки — граф";"";"2005";"8";"2014-12-30 14:39:53"
"Ричард Длинные Руки — властелин трех замков";"";"2004";"8";"2014-12-30 14:39:26"
"Серебряный Клин";"";"1989";"9";"2014-12-30 14:39:12"
"Зловещие латунные тени";"";"1990";"8";"2014-12-30 14:38:57"
"Императоры иллюзий";"";"1995";"9";"2014-12-30 14:38:42"
"Человек с топором (Ю. Никитин)";"";"2003";"8";"2014-12-30 14:38:29"
"Летающие острова (А. Бушков)";"";"1996";"8";"2014-12-30 14:38:08"
"Крючок для пираньи";"";"1997";"5";"2014-12-30 14:37:56"
"Ярость (Ю. Никитин)";"";"1997";"10";"2014-12-30 14:37:41"
"Око небесное";"";"1957";"8";"2014-12-30 14:37:20"
"Линия грёз";"";"1996";"9";"2014-12-30 14:37:04"
"Воин Великой Тьмы: Книга Арьяты и Трогвара";"";"1995";"6";"2014-12-30 14:36:45"
"Железные паруса";"";"2004";"5";"2014-12-30 14:36:32"
"Стоунхендж (Ю. Никитин)";"";"1998";"8";"2014-12-30 14:36:15"
"Война мага: Конец игры";"";"2006";"8";"2014-12-30 14:35:54"
"Пиранья: Охота на олигарха";"";"2006";"6";"2014-12-30 14:35:36"
"Дым и зеркала (Н. Гейман)";"";"1998";"7";"2014-12-30 14:34:46"
"Сержанту никто не звонит";"";"2006";"8";"2014-12-30 14:33:18"
"Гвардия (С. Мусаниф)";"";"2006";"6";"2014-12-30 14:31:31"
"Ричард Длинные Руки — бургграф";"";"2006";"8";"2014-12-30 14:22:44"
"Антикиллер-2";"";"2000";"6";"2014-12-30 14:20:56"
"За горизонтом (В. Ночкин)";"";"2006";"6";"2014-12-30 14:19:40"
"Королевства, проигранные в карты";"";"2006";"7";"2014-12-30 14:13:54"
"Драконий коготь";"";"2003";"7";"2014-12-30 14:11:15"
"Метро 2033";"";"2005";"3";"2014-12-30 13:35:33"
"День счастья — завтра";"";"2005";"8";"2014-12-30 13:34:25"
"Король и королева мечей";"";"1998";"6";"2014-12-30 13:33:21"
"Секретные поручения 2";"";"2006";"6";"2014-12-30 13:31:39"
"Легенды и мифы Древней Греции";"";"1914";"7";"2014-12-30 13:30:08"
"Ревизор (1836)";"";"1836";"4";"2014-12-30 13:26:04"
"Похороны ведьмы";"";"2003";"7";"2014-12-30 13:20:51"
"Нежилец (Л. Каганов)";"";"1998";"9";"2014-12-30 13:18:00"
"Флэшмоб-террор";"";"2004";"10";"2014-12-30 13:16:46"
"Типовая конфигурация";"";"2004";"10";"2014-12-30 13:14:56"
"Масло";"";"2002";"7";"2014-12-30 13:13:59"
"Хомка";"";"2003";"10";"2014-12-30 13:13:32"
"Педагогическая поэма (1935)";"";"1935";"8";"2014-12-30 13:12:33"
"Одаренные дети";"";"2003";"8";"2014-12-30 13:11:26"
"Вечеринка без ограничений";"";"2001";"8";"2014-12-30 13:10:38"
"Лето (С. Вартанов)";"";"2001";"8";"2014-12-30 13:09:48"
"Рони, дочь разбойника";"";"1981";"8";"2014-12-30 13:08:41"
"Меж трех времен";"";"2000";"7";"2014-12-30 13:07:00"
"Волчье солнышко";"";"1996";"7";"2014-12-30 13:03:56"
"Тирмен";"";"2006";"10";"2014-12-30 13:00:36"
"Грешники (И. Стогoff)";"";"2006";"8";"2014-12-30 12:56:16"
"Пеппи Длинный чулок";"";"1948";"5";"2014-12-30 12:55:56"
"Дети процессора: Как Интернет и видеоигры формируют завтрашних взрослых";"";"2006";"5";"2014-12-29 15:07:11"
"Возвращение Томаса";"";"2006";"7";"2014-12-29 15:02:15"
"Последняя крепость (Ю. Никитин)";"";"2006";"9";"2014-12-29 15:01:13"
"Трансчеловек";"";"2006";"10";"2014-12-29 15:00:56"
"Распутин: Выстрел из прошлого";"";"2006";"6";"2014-12-29 14:58:34"
"Сталин: Корабль без капитана";"";"2007";"6";"2014-12-29 14:56:54"
"Под созвездием Северных Крестов";"";"2005";"6";"2014-12-29 14:54:36"
"Сталин: Осень императора";"";"2005";"7";"2014-12-29 14:53:45"
"Сталин: Ледяной трон";"";"2005";"7";"2014-12-29 14:51:18"
"Пиранья: Флибустьерские волны";"";"2004";"5";"2014-12-29 14:48:47"
"Как стать писателем";"";"2004";"10";"2014-12-29 14:45:50"
"Кое-что о Билли";"";"2007";"6";"2014-12-29 14:40:32"
"Ниязбек";"";"2005";"7";"2014-12-29 14:36:43"
"Атомный поезд";"";"2006";"7";"2014-12-29 14:36:22"
"Татуированная кожа";"";"2001";"7";"2014-12-29 14:35:36"
"Подставная фигура";"";"2002";"6";"2014-12-29 14:35:18"
"Вредные советы";"";"2004";"6";"2014-12-29 14:34:26"
"Секретные поручения";"";"1998";"6";"2014-12-29 14:32:50"
"Ухряб";"";"2002";"6";"2014-12-29 14:30:03"
"Тарзанка";"";"2002";"5";"2014-12-29 14:29:45"
"Свой круг (Д. Корецкий)";"";"1988";"5";"2014-12-29 14:29:28"
"Хроники Корума 1: Рыцарь мечей";"";"1971";"8";"2014-12-29 14:26:25"
"Принцип карате";"";"2000";"4";"2014-12-29 14:25:58"
"Стеклянный цветок";"";"1986";"7";"2014-12-29 14:25:43"
"Привести в исполнение";"";"2000";"5";"2014-12-29 14:24:28"
"Портреты его детей";"";"1985";"9";"2014-12-29 14:24:13"
"Песнь о Лии";"";"1974";"5";"2014-12-29 14:24:05"
"Песнь льда и огня";"";"2006";"8";"2014-12-29 14:23:43"
"Мистфаль приходит утром";"";"1973";"5";"2014-12-29 14:18:08"
"Мио, мой Мио!";"";"1954";"8";"2014-12-29 14:16:33"
"Муха-Цокотуха (К. Чуковский)";"";"1923";"6";"2014-12-29 14:16:15"
"Малыш и Карлсон, который живет на крыше";"";"1955";"5";"2014-12-29 14:15:56"
"Путь креста и дракона (Д. Мартин)";"";"1979";"6";"2014-12-29 14:15:41"
"Колодец и маятник";"";"1842";"8";"2014-12-29 14:15:17"
"И навсегда забыть Эдем";"";"2005";"6";"2014-12-29 14:15:00"
"Хроники Корума 3: Король мечей";"";"1971";"8";"2014-12-29 14:13:18"
"Хроники Корума 2: Королева мечей";"";"1971";"8";"2014-12-29 14:13:03"
"День бульдозериста";"";"2002";"6";"2014-12-29 14:12:46"
"Дары волхвов (1906)";"";"1906";"7";"2014-12-29 14:11:34"
"Волк насторожился";"";"1995";"5";"2014-12-29 14:11:17"
"Встроенный напоминатель";"";"2002";"5";"2014-12-29 14:11:03"
"Вести из Непала";"";"2002";"6";"2014-12-29 14:10:49"
"Сага об Элрике 10: Буреносец";"";"1977";"10";"2014-12-29 14:08:44"
"Братья Львиное Сердце";"";"1973";"9";"2014-12-29 14:08:23"
"Вечеринка в стиле вамп";"";"2007";"6";"2014-12-29 14:07:09"
"Необыкновенное путешествие в безумие и обратно: операторы и вещи";"";"1966";"8";"2014-12-29 14:03:52"
"Война мага — Эндшпиль";"";"2006";"9";"2014-12-29 14:02:38"
"Сага об Элрике 1: Город мечты";"";"1972";"9";"2014-12-29 14:01:13"
"Хозяева Хрустальной Ямы";"";"1965";"4";"2014-12-29 14:00:15"
"Лед (П. Корнев)";"";"2006";"9";"2014-12-29 13:43:25"
"Хранители (Д. Мартин)";"";"1981";"10";"2014-12-29 13:43:03"
"Хлеба и рыбы";"";"1985";"9";"2014-12-29 13:42:45"
"Чумная звезда";"";"1985";"10";"2014-12-29 13:42:27"
"Тупиковый вариант";"";"1982";"8";"2014-12-29 13:42:11"
"Сестренка из преисподней";"";"2001";"5";"2014-12-29 13:41:45"
"Никогде";"";"1996";"7";"2014-12-29 13:38:54"
"Бремя императора: Тропой мастеров";"";"2005";"5";"2014-12-29 13:38:09"
"Шлем ужаса";"";"2005";"9";"2014-12-29 13:37:51"
"Дом с привидениями (А.Бушков)";"";"2005";"5";"2014-12-29 13:35:01"
"Джек на востоке";"";"1999";"7";"2014-12-29 13:30:16"
"Джек и тайна древнего замка";"";"1999";"7";"2014-12-29 13:29:58"
"Беру свои слова обратно";"";"2005";"6";"2014-12-29 13:29:13"
"Постмодернизм в фантастике: руководство пользователя";"";"1986";"8";"2014-12-29 13:24:58"
"Экипаж (А. Рудазов)";"";"2005";"5";"2014-12-29 13:24:42"
"Красный монарх";"";"2004";"7";"2014-12-29 13:19:55"
"Белгариад 2: Владычица магии";"";"1982";"8";"2014-12-29 13:19:36"
"Белгариад 1: Рука судьбы";"";"1982";"7";"2014-12-29 13:19:21"
"Как рыцарь средних лет собрался на дракона";"";"1990";"5";"2014-12-29 13:18:09"
"Проводник отсюда";"";"1997";"6";"2014-12-29 13:17:25"
"Спецназ (В. Суворов)";"";"2004";"6";"2014-12-29 13:16:58"
"Пешка в большой игре (Д. Корецкий)";"";"1995";"6";"2014-12-29 13:16:29"
"Антикиллер";"";"1995";"7";"2014-12-29 13:16:11"
"Срединный пилотаж";"";"2002";"6";"2014-12-29 13:13:39"
"Стеклянное море";"";"1996";"10";"2014-12-29 13:12:42"
"Планета которой нет";"";"1992";"9";"2014-12-29 13:12:25"
"Принцесса стоит смерти";"";"1991";"9";"2014-12-29 13:12:03"
"Хрустальный мир (2002)";"";"2002";"4";"2014-12-29 13:11:45"
"Проблема верволка в средней полосе";"";"1991";"7";"2014-12-29 13:11:20"
"Синий фонарь";"";"2002";"8";"2014-12-29 13:11:02"
"Происхождение видов (В. Пелевин)";"";"2002";"7";"2014-12-29 13:10:48"
"Оружие возмездия (В. Пелевин)";"";"2002";"7";"2014-12-29 13:10:32"
"Иван Кублаханов";"";"2002";"5";"2014-12-29 13:10:15"
"Бубен верхнего мира";"";"2002";"8";"2014-12-29 13:09:40"
"Расписной";"";"2003";"7";"2014-12-29 13:06:20"
"Диалектика Переходного Периода Из Ниоткуда В Никуда";"";"2003";"8";"2014-12-29 13:04:47"
"Мифриловый крест";"";"2003";"10";"2014-12-29 13:03:27"
"Адрес командировки — тюрьма";"";"2004";"4";"2014-12-29 13:03:13"
"Парфюм в Андорре";"";"2004";"4";"2014-12-29 13:02:49"
"Оперативный псевдоним";"";"2003";"7";"2014-12-29 13:02:34"
"Скорость убегания";"";"1983";"9";"2014-12-29 13:01:35"
"Чародей поневоле";"";"1969";"8";"2014-12-29 13:00:50"
"Чародей-странник";"";"1986";"7";"2014-12-29 13:00:08"
"Возвращение короля Коболда";"";"1984";"7";"2014-12-29 12:59:18"
"Очарованный чародей";"";"1982";"8";"2014-12-29 12:58:29"
"Чародей в ярости";"";"1985";"8";"2014-12-29 12:56:43"
"Моя семья и другие звери";"";"1956";"6";"2014-12-29 12:54:58"
"Онтология детства";"";"2002";"6";"2014-12-29 12:54:32"
"Ника (В. Пелевин)";"";"1999";"7";"2014-12-29 12:54:12"
"Мардонги";"";"2002";"7";"2014-12-29 12:53:48"
"НКВД: Война с неведомым";"";"2004";"5";"2014-12-29 12:53:14"
"Ашхабадский вор";"";"2003";"6";"2014-12-29 12:50:39"
"Игра Теней (Г. Кук)";"";"1989";"7";"2014-12-29 12:50:18"
"Буря мечей";"";"2000";"8";"2014-12-29 12:49:46"
"Alouette, little Alouette...";"";"2014";"3";"2014-12-23 17:51:08"
"Супермен. Красный сын";"";"2003";"8";"2014-12-23 15:10:58"
"Насты";"";"2013";"10";"2014-12-03 15:37:51"
"Красная страна";"";"2012";"10";"2014-11-25 15:36:12"
"Охота на удачу";"";"2014";"8";"2014-11-25 15:19:17"
"Птенцы Виндерхейма";"";"2012";"8";"2014-11-10 19:12:29"
"Бэтмен: Тихо!";"";"2009";"9";"2014-11-10 16:34:34"
"Творцы миров (Ю. Никитин)";"";"2007";"7";"2014-10-27 15:57:21"
"Неподдающаяся";"";"2009";"6";"2014-10-14 17:45:56"
