"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Мстители: Эра Альтрона";"Avengers: Age of Ultron; Мстители 2";"2015";"7";"2015-04-25 18:31:25"
"ВАЛЛ·И";"WALL·E; Валл-И";"2008";"8";"2015-04-23 17:37:09"
"Высоцкий: Спасибо что живой";"";"2011";"5";"2015-04-20 12:58:53"
"Тристан и Изольда (2005)";"Tristan & Isolde";"2005";"5";"2015-04-20 12:17:29"
"Парад Смерти";"Death Parade";"2013";"9";"2015-04-19 20:19:11"
"Пятьдесят оттенков серого (2015)";"Fifty Shades of Grey";"2015";"6";"2015-04-18 23:22:15"
"Сострадание к прекрасному";"Sympathy for Delicious";"2010";"6";"2015-04-18 19:59:05"
"Сияние (1980)";"The Shining";"1980";"8";"2015-04-17 16:25:31"
"Происхождение глаз";"I Origins; Я – начало";"2014";"7";"2015-04-16 18:50:58"
"Готэм";"Gotham";"2014";"7";"2015-04-16 14:17:20"
"Саботаж (2014)";"Sabotage";"2014";"5";"2015-04-15 18:18:34"
"Охотники за сокровищами";"The Monuments Men";"2014";"5";"2015-04-15 17:49:07"
"Счастливый Гилмор";"Happy Gilmore";"1996";"5";"2015-04-14 17:38:04"
"Одноклассники 2";"Grown Ups 2";"2013";"4";"2015-04-14 17:37:32"
"Не отпускай меня (2010)";"Never Let Me Go";"2010";"6";"2015-04-14 17:10:30"
"Монстры против пришельцев";"Monsters vs. Aliens";"2009";"5";"2015-04-14 16:48:39"
"Невидимка";"Hollow Man";"2000";"8";"2015-04-12 15:34:41"
"Тяжёлый металл 2000";"Heavy Metal 2000";"2000";"6";"2015-04-12 09:13:29"
"Тяжелый металл";"Heavy Metal";"1981";"7";"2015-04-10 18:31:43"
"Гадкие лебеди";"Ugly Swans";"2006";"4";"2015-04-10 17:20:53"
"Поймай меня если сможешь (2002)";"Catch Me If You Can";"2002";"5";"2015-04-10 16:54:55"
"Путешествие Гектора в поисках счастья";"Hector and the Search for Happiness";"2014";"7";"2015-04-09 20:07:52"
"Супермен против Элиты";"Superman vs. The Elite";"2012";"9";"2015-04-08 20:09:36"
"Терминатор 4: Да придет спаситель";"Terminator Salvation";"2009";"6";"2015-04-08 18:38:52"
