"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Одна миллиардная доля";"Parts Per Billion";"2014";"4";"2015-08-12 09:20:15"
"Пластик";"Plastic";"2014";"6";"2015-08-12 09:20:10"
"Гравити Фолз";"Gravity Falls";"2012";"1";"2015-08-12 09:20:04"
